country,year,workforce_type,workforce_size,population
Italy,2013,pers: Female: Sole holders working on the farm,318240,59801004
Italy,2013,AWU: Sole holders,404780,59801004
Italy,2013,pers: Male: Sole holders working on the farm,677570,59801004
Italy,2013,pers: Sole holders working on the farm,995810,59801004
Italy,2013,pers: Family labour force,1992690,59801004
Latvia,2013,pers: Female: Sole holders working on the farm,37030,1955742
Latvia,2013,AWU: Sole holders,38070,1955742
Latvia,2013,pers: Male: Sole holders working on the farm,44110,1955742
Latvia,2013,pers: Sole holders working on the farm,81140,1955742
Latvia,2013,pers: Family labour force,153610,1955742
Lithuania,2013,AWU: Sole holders,75900,2850030
Lithuania,2013,pers: Female: Sole holders working on the farm,80930,2850030
Lithuania,2013,pers: Male: Sole holders working on the farm,88890,2850030
Lithuania,2013,pers: Sole holders working on the farm,169820,2850030
Lithuania,2013,pers: Family labour force,264070,2850030
Luxembourg,2013,pers: Female: Sole holders working on the farm,410,576243
Luxembourg,2013,AWU: Sole holders,1500,576243
Luxembourg,2013,pers: Male: Sole holders working on the farm,1580,576243
Luxembourg,2013,pers: Sole holders working on the farm,1980,576243
Luxembourg,2013,pers: Family labour force,3790,576243
Malta,2013,pers: Female: Sole holders working on the farm,930,419615
Malta,2013,AWU: Sole holders,2740,419615
Malta,2013,pers: Male: Sole holders working on the farm,8270,419615
Malta,2013,pers: Sole holders working on the farm,9200,419615
Malta,2013,pers: Family labour force,14310,419615
Netherlands,2013,pers: Female: Sole holders working on the farm,3790,16979729
Netherlands,2013,AWU: Sole holders,50220,16979729
Netherlands,2013,pers: Male: Sole holders working on the farm,59320,16979729
Netherlands,2013,pers: Sole holders working on the farm,63110,16979729
Netherlands,2013,pers: Family labour force,133320,16979729
Poland,2013,pers: Female: Sole holders working on the farm,450800,38593161
Poland,2013,AWU: Sole holders,853040,38593161
Poland,2013,pers: Male: Sole holders working on the farm,965520,38593161
Poland,2013,pers: Sole holders working on the farm,1416310,38593161
Poland,2013,pers: Family labour force,3480250,38593161
Portugal,2013,pers: Female: Sole holders working on the farm,80290,10304434
Portugal,2013,AWU: Sole holders,135110,10304434
Portugal,2013,pers: Male: Sole holders working on the farm,173200,10304434
Portugal,2013,pers: Sole holders working on the farm,253490,10304434
Portugal,2013,pers: Family labour force,565830,10304434
Romania,2013,AWU: Sole holders,782770,19372734
Romania,2013,pers: Female: Sole holders working on the farm,1197920,19372734
Romania,2013,pers: Male: Sole holders working on the farm,2399360,19372734
Romania,2013,pers: Sole holders working on the farm,3597280,19372734
Slovakia,2013,pers: Female: Sole holders working on the farm,3510,5429418
Slovakia,2013,AWU: Sole holders,9330,5429418
Slovakia,2013,pers: Male: Sole holders working on the farm,17310,5429418
Slovakia,2013,pers: Sole holders working on the farm,20820,5429418
Slovakia,2013,pers: Family labour force,39090,5429418
Slovenia,2013,pers: Female: Sole holders working on the farm,16420,2069362
Slovenia,2013,AWU: Sole holders,36110,2069362
Slovenia,2013,pers: Male: Sole holders working on the farm,50120,2069362
Slovenia,2013,pers: Sole holders working on the farm,66550,2069362
Slovenia,2013,pers: Family labour force,198000,2069362
Spain,2013,pers: Female: Sole holders working on the farm,226420,46064604
Spain,2013,AWU: Sole holders,307150,46064604
Spain,2013,pers: Male: Sole holders working on the farm,566960,46064604
Spain,2013,pers: Sole holders working on the farm,793380,46064604
Spain,2013,pers: Family labour force,1437190,46064604
Sweden,2013,pers: Female: Sole holders working on the farm,9860,9851852
Sweden,2013,AWU: Sole holders,26480,9851852
Sweden,2013,pers: Male: Sole holders working on the farm,52100,9851852
Sweden,2013,pers: Sole holders working on the farm,61960,9851852
Sweden,2013,pers: Family labour force,108740,9851852
United Kingdom,2013,pers: Female: Sole holders working on the farm,25520,65111143
United Kingdom,2013,AWU: Sole holders,110510,65111143
United Kingdom,2013,pers: Male: Sole holders working on the farm,150320,65111143
United Kingdom,2013,pers: Sole holders working on the farm,175850,65111143
United Kingdom,2013,pers: Family labour force,323810,65111143
