year,country,meat_type,unit,quantity
2008,Poland,Calve and young cattley,Thousand head (animals),349.56
2008,Poland,Calve,Thousand tonnes,0
2008,Poland,Calve,Thousand head (animals),0
2008,Poland,Young cattle,Thousand tonnes,0
2008,Poland,Young cattle,Thousand head (animals),0
2008,Poland,Adult cattle,Thousand tonnes,360.7
2008,Poland,Adult cattle,Thousand head (animals),1320.94
2008,Portugal,Bovine meat,Thousand tonnes,108.54
2008,Portugal,Bovine meat,Thousand head (animals),449.44
2008,Portugal,Calve and young cattley,Thousand tonnes,21.03
2008,Portugal,Calve and young cattley,Thousand head (animals),143.41
2008,Portugal,Calve,Thousand tonnes,0
2008,Portugal,Calve,Thousand head (animals),0
2008,Portugal,Young cattle,Thousand tonnes,0
2008,Portugal,Young cattle,Thousand head (animals),0
2008,Portugal,Adult cattle,Thousand tonnes,87.51
2008,Portugal,Adult cattle,Thousand head (animals),306.03
2008,Romania,Bovine meat,Thousand tonnes,190.4
2008,Romania,Bovine meat,Thousand head (animals),1116
2008,Romania,Calve and young cattley,Thousand tonnes,16.1
2008,Romania,Calve and young cattley,Thousand head (animals),129.5
2008,Romania,Calve,Thousand tonnes,0
2008,Romania,Calve,Thousand head (animals),0
2008,Romania,Young cattle,Thousand tonnes,0
2008,Romania,Young cattle,Thousand head (animals),0
2008,Romania,Adult cattle,Thousand tonnes,174.3
2008,Romania,Adult cattle,Thousand head (animals),986.5
2008,Slovenia,Bovine meat,Thousand tonnes,36.94
2008,Slovenia,Bovine meat,Thousand head (animals),131.53
2008,Slovenia,Calve and young cattley,Thousand tonnes,2.28
2008,Slovenia,Calve and young cattley,Thousand head (animals),25.49
2008,Slovenia,Calve,Thousand tonnes,0
2008,Slovenia,Calve,Thousand head (animals),0
2008,Slovenia,Young cattle,Thousand tonnes,0
2008,Slovenia,Young cattle,Thousand head (animals),0
2008,Slovenia,Adult cattle,Thousand tonnes,34.67
2008,Slovenia,Adult cattle,Thousand head (animals),106.04
2008,Slovakia,Bovine meat,Thousand tonnes,19.86
2008,Slovakia,Bovine meat,Thousand head (animals),77.26
2008,Slovakia,Calve and young cattley,Thousand tonnes,0.25
2008,Slovakia,Calve and young cattley,Thousand head (animals),3.9
2008,Slovakia,Calve,Thousand tonnes,0
2008,Slovakia,Calve,Thousand head (animals),0
2008,Slovakia,Young cattle,Thousand tonnes,0
2008,Slovakia,Young cattle,Thousand head (animals),0
2008,Slovakia,Adult cattle,Thousand tonnes,19.61
2008,Slovakia,Adult cattle,Thousand head (animals),73.36
2008,Finland,Bovine meat,Thousand tonnes,82.52
2008,Finland,Bovine meat,Thousand head (animals),282.45
2008,Finland,Calve and young cattley,Thousand tonnes,0.7
2008,Finland,Calve and young cattley,Thousand head (animals),7.39
2008,Finland,Calve,Thousand tonnes,0
2008,Finland,Calve,Thousand head (animals),0
2008,Finland,Young cattle,Thousand tonnes,0
2008,Finland,Young cattle,Thousand head (animals),0
2008,Finland,Adult cattle,Thousand tonnes,81.82
2008,Finland,Adult cattle,Thousand head (animals),275.06
2008,Sweden,Bovine meat,Thousand tonnes,128.79
2008,Sweden,Bovine meat,Thousand head (animals),430.08
2008,Sweden,Calve and young cattley,Thousand tonnes,4.27
2008,Sweden,Calve and young cattley,Thousand head (animals),28.65
2008,Sweden,Calve,Thousand tonnes,0
2008,Sweden,Calve,Thousand head (animals),0
2008,Sweden,Young cattle,Thousand tonnes,0
2008,Sweden,Young cattle,Thousand head (animals),0
2008,Sweden,Adult cattle,Thousand tonnes,124.52
2008,Sweden,Adult cattle,Thousand head (animals),401.43
2008,United Kingdom,Bovine meat,Thousand tonnes,862.4
2008,United Kingdom,Bovine meat,Thousand head (animals),2631.82
2008,United Kingdom,Calve and young cattley,Thousand tonnes,1.34
2008,United Kingdom,Calve and young cattley,Thousand head (animals),44.22
2008,United Kingdom,Calve,Thousand tonnes,0
2008,United Kingdom,Calve,Thousand head (animals),0
2008,United Kingdom,Young cattle,Thousand tonnes,0
2008,United Kingdom,Young cattle,Thousand head (animals),0
2008,United Kingdom,Adult cattle,Thousand tonnes,861.06
2008,United Kingdom,Adult cattle,Thousand head (animals),2587.6
2008,Iceland,Bovine meat,Thousand tonnes,0
2008,Iceland,Bovine meat,Thousand head (animals),0
2008,Iceland,Calve and young cattley,Thousand tonnes,0
2008,Iceland,Calve and young cattley,Thousand head (animals),0
2008,Iceland,Calve,Thousand tonnes,0
2008,Iceland,Calve,Thousand head (animals),0
2008,Iceland,Young cattle,Thousand tonnes,0
2008,Iceland,Young cattle,Thousand head (animals),0
2008,Iceland,Adult cattle,Thousand tonnes,0
2008,Iceland,Adult cattle,Thousand head (animals),0
2008,Switzerland,Bovine meat,Thousand tonnes,0
2008,Switzerland,Bovine meat,Thousand head (animals),0
2008,Switzerland,Calve and young cattley,Thousand tonnes,0
2008,Switzerland,Calve and young cattley,Thousand head (animals),0
2008,Switzerland,Calve,Thousand tonnes,0
2008,Switzerland,Calve,Thousand head (animals),0
2008,Switzerland,Young cattle,Thousand tonnes,0
2008,Switzerland,Young cattle,Thousand head (animals),0
2008,Switzerland,Adult cattle,Thousand tonnes,0
2008,Switzerland,Adult cattle,Thousand head (animals),0
2008,Montenegro,Bovine meat,Thousand tonnes,0
2008,Montenegro,Bovine meat,Thousand head (animals),0
2008,Montenegro,Calve and young cattley,Thousand tonnes,0
2008,Montenegro,Calve and young cattley,Thousand head (animals),0
2008,Montenegro,Calve,Thousand tonnes,0
2008,Montenegro,Calve,Thousand head (animals),0
2008,Montenegro,Young cattle,Thousand tonnes,0
2008,Montenegro,Young cattle,Thousand head (animals),0
2008,Montenegro,Adult cattle,Thousand tonnes,0
2008,Montenegro,Adult cattle,Thousand head (animals),0
2008,Albania,Bovine meat,Thousand tonnes,0
2008,Albania,Bovine meat,Thousand head (animals),0
2008,Albania,Calve and young cattley,Thousand tonnes,0
2008,Albania,Calve and young cattley,Thousand head (animals),0
2008,Albania,Calve,Thousand tonnes,0
2008,Albania,Calve,Thousand head (animals),0
2008,Albania,Young cattle,Thousand tonnes,0
2008,Albania,Young cattle,Thousand head (animals),0
2008,Albania,Adult cattle,Thousand tonnes,0
2008,Albania,Adult cattle,Thousand head (animals),0
2008,Serbia,Bovine meat,Thousand tonnes,0
2008,Serbia,Bovine meat,Thousand head (animals),0
2008,Serbia,Calve and young cattley,Thousand tonnes,0
2008,Serbia,Calve and young cattley,Thousand head (animals),0
2008,Serbia,Calve,Thousand tonnes,0
2008,Serbia,Calve,Thousand head (animals),0
2008,Serbia,Young cattle,Thousand tonnes,0
2008,Serbia,Young cattle,Thousand head (animals),0
2008,Serbia,Adult cattle,Thousand tonnes,0
2008,Serbia,Adult cattle,Thousand head (animals),0
2008,Turkey,Bovine meat,Thousand tonnes,0
2008,Turkey,Bovine meat,Thousand head (animals),0
2008,Turkey,Calve and young cattley,Thousand tonnes,0
2008,Turkey,Calve and young cattley,Thousand head (animals),0
2008,Turkey,Calve,Thousand tonnes,0
2008,Turkey,Calve,Thousand head (animals),0
2008,Turkey,Young cattle,Thousand tonnes,0
2008,Turkey,Young cattle,Thousand head (animals),0
2008,Turkey,Adult cattle,Thousand tonnes,0
2008,Turkey,Adult cattle,Thousand head (animals),0
2008,Bosnia and Herzegovina,Bovine meat,Thousand tonnes,0
2008,Bosnia and Herzegovina,Bovine meat,Thousand head (animals),0
2008,Bosnia and Herzegovina,Calve and young cattley,Thousand tonnes,0
2008,Bosnia and Herzegovina,Calve and young cattley,Thousand head (animals),0
2008,Bosnia and Herzegovina,Calve,Thousand tonnes,0
2008,Bosnia and Herzegovina,Calve,Thousand head (animals),0
2008,Bosnia and Herzegovina,Young cattle,Thousand tonnes,0
2008,Bosnia and Herzegovina,Young cattle,Thousand head (animals),0
2008,Bosnia and Herzegovina,Adult cattle,Thousand tonnes,0
2008,Bosnia and Herzegovina,Adult cattle,Thousand head (animals),0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Thousand tonnes,0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Bovine meat,Thousand head (animals),0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Calve and young cattley,Thousand tonnes,0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Calve and young cattley,Thousand head (animals),0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Calve,Thousand tonnes,0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Calve,Thousand head (animals),0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Young cattle,Thousand tonnes,0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Young cattle,Thousand head (animals),0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Adult cattle,Thousand tonnes,0
2008,Kosovo (under United Nations Security Council Resolution 1244/99),Adult cattle,Thousand head (animals),0
2009,European Union (28 countries),Bovine meat,Thousand tonnes,7765.58
2009,European Union (28 countries),Bovine meat,Thousand head (animals),27405.25
2009,European Union (28 countries),Calve and young cattley,Thousand tonnes,946.1
2009,European Union (28 countries),Calve and young cattley,Thousand head (animals),6276.97
2009,European Union (28 countries),Calve,Thousand tonnes,646.25
2009,European Union (28 countries),Calve,Thousand head (animals),4854.41
2009,European Union (28 countries),Young cattle,Thousand tonnes,299.85
2009,European Union (28 countries),Young cattle,Thousand head (animals),1422.55
2009,European Union (28 countries),Adult cattle,Thousand tonnes,6819.48
2009,European Union (28 countries),Adult cattle,Thousand head (animals),21128.28
2009,European Union (27 countries),Bovine meat,Thousand tonnes,7716.78
2009,European Union (27 countries),Bovine meat,Thousand head (animals),27173.15
2009,European Union (27 countries),Calve and young cattley,Thousand tonnes,932.3
2009,European Union (27 countries),Calve and young cattley,Thousand head (animals),6164.17
2009,European Union (27 countries),Calve,Thousand tonnes,640.35
2009,European Union (27 countries),Calve,Thousand head (animals),4778.81
2009,European Union (27 countries),Young cattle,Thousand tonnes,291.95
2009,European Union (27 countries),Young cattle,Thousand head (animals),1385.35
2009,European Union (27 countries),Adult cattle,Thousand tonnes,6784.48
2009,European Union (27 countries),Adult cattle,Thousand head (animals),21008.98
2009,European Union (25 countries),Bovine meat,Thousand tonnes,7687.12
2009,European Union (25 countries),Bovine meat,Thousand head (animals),27033.18
2009,European Union (25 countries),Calve and young cattley,Thousand tonnes,928.38
2009,European Union (25 countries),Calve and young cattley,Thousand head (animals),6138
2009,European Union (25 countries),Calve,Thousand tonnes,638.97
2009,European Union (25 countries),Calve,Thousand head (animals),4767.75
2009,European Union (25 countries),Young cattle,Thousand tonnes,289.41
2009,European Union (25 countries),Young cattle,Thousand head (animals),1370.25
2009,European Union (25 countries),Adult cattle,Thousand tonnes,6758.74
2009,European Union (25 countries),Adult cattle,Thousand head (animals),20895.19
2009,European Union (15 countries),Bovine meat,Thousand tonnes,7065.75
2009,European Union (15 countries),Bovine meat,Thousand head (animals),24536.62
2009,European Union (15 countries),Calve and young cattley,Thousand tonnes,904.65
2009,European Union (15 countries),Calve and young cattley,Thousand head (animals),5812.09
2009,European Union (15 countries),Calve,Thousand tonnes,620.43
2009,European Union (15 countries),Calve,Thousand head (animals),4473.11
2009,European Union (15 countries),Young cattle,Thousand tonnes,284.22
2009,European Union (15 countries),Young cattle,Thousand head (animals),1338.98
2009,European Union (15 countries),Adult cattle,Thousand tonnes,6161.1
2009,European Union (15 countries),Adult cattle,Thousand head (animals),18724.53
2009,Belgium,Bovine meat,Thousand tonnes,255.02
2009,Belgium,Bovine meat,Thousand head (animals),789.99
2009,Belgium,Calve and young cattley,Thousand tonnes,52.57
2009,Belgium,Calve and young cattley,Thousand head (animals),328.31
2009,Belgium,Calve,Thousand tonnes,52.57
2009,Belgium,Calve,Thousand head (animals),328.31
2009,Belgium,Young cattle,Thousand tonnes,0
2009,Belgium,Young cattle,Thousand head (animals),0
2009,Belgium,Adult cattle,Thousand tonnes,202.45
2009,Belgium,Adult cattle,Thousand head (animals),461.67
2009,Bulgaria,Bovine meat,Thousand tonnes,4.7
2009,Bulgaria,Bovine meat,Thousand head (animals),22.61
2009,Bulgaria,Calve and young cattley,Thousand tonnes,0.61
2009,Bulgaria,Calve and young cattley,Thousand head (animals),4.26
2009,Bulgaria,Calve,Thousand tonnes,0.61
2009,Bulgaria,Calve,Thousand head (animals),4.26
2009,Bulgaria,Young cattle,Thousand tonnes,0
2009,Bulgaria,Young cattle,Thousand head (animals),0
2009,Bulgaria,Adult cattle,Thousand tonnes,4.09
2009,Bulgaria,Adult cattle,Thousand head (animals),18.35
2009,Czech Republic,Bovine meat,Thousand tonnes,77.03
2009,Czech Republic,Bovine meat,Thousand head (animals),269.35
2009,Czech Republic,Calve and young cattley,Thousand tonnes,1.05
2009,Czech Republic,Calve and young cattley,Thousand head (animals),11.58
2009,Czech Republic,Calve,Thousand tonnes,0.55
2009,Czech Republic,Calve,Thousand head (animals),9.07
2009,Czech Republic,Young cattle,Thousand tonnes,0.51
2009,Czech Republic,Young cattle,Thousand head (animals),2.51
2009,Czech Republic,Adult cattle,Thousand tonnes,75.97
2009,Czech Republic,Adult cattle,Thousand head (animals),257.77
2009,Denmark,Bovine meat,Thousand tonnes,126.4
2009,Denmark,Bovine meat,Thousand head (animals),481
2009,Denmark,Calve and young cattley,Thousand tonnes,28.5
2009,Denmark,Calve and young cattley,Thousand head (animals),137.2
2009,Denmark,Calve,Thousand tonnes,0.1
2009,Denmark,Calve,Thousand head (animals),2.1
2009,Denmark,Young cattle,Thousand tonnes,28.4
2009,Denmark,Young cattle,Thousand head (animals),135.1
2009,Denmark,Adult cattle,Thousand tonnes,97.9
2009,Denmark,Adult cattle,Thousand head (animals),343.8
2009,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand tonnes,1174.12
2009,Germany (until 1990 former territory of the FRG),Bovine meat,Thousand head (animals),3738.98
2009,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand tonnes,45.9
2009,Germany (until 1990 former territory of the FRG),Calve and young cattley,Thousand head (animals),330.86
2009,Germany (until 1990 former territory of the FRG),Calve,Thousand tonnes,40.96
2009,Germany (until 1990 former territory of the FRG),Calve,Thousand head (animals),301.98
2009,Germany (until 1990 former territory of the FRG),Young cattle,Thousand tonnes,4.94
2009,Germany (until 1990 former territory of the FRG),Young cattle,Thousand head (animals),28.89
2009,Germany (until 1990 former territory of the FRG),Adult cattle,Thousand tonnes,1128.22
2009,Germany (until 1990 former territory of the FRG),Adult cattle,Thousand head (animals),3408.12
2009,Estonia,Bovine meat,Thousand tonnes,9.64
2009,Estonia,Bovine meat,Thousand head (animals),41.51
2009,Estonia,Calve and young cattley,Thousand tonnes,0.27
2009,Estonia,Calve and young cattley,Thousand head (animals),2.85
2009,Estonia,Calve,Thousand tonnes,0.11
2009,Estonia,Calve,Thousand head (animals),1.94
2009,Estonia,Young cattle,Thousand tonnes,0.16
2009,Estonia,Young cattle,Thousand head (animals),0.91
2009,Estonia,Adult cattle,Thousand tonnes,9.37
2009,Estonia,Adult cattle,Thousand head (animals),38.66
2009,Ireland,Bovine meat,Thousand tonnes,514.43
2009,Ireland,Bovine meat,Thousand head (animals),1600.39
2009,Ireland,Calve and young cattley,Thousand tonnes,0.6
2009,Ireland,Calve and young cattley,Thousand head (animals),3.37
2009,Ireland,Calve,Thousand tonnes,0.07
2009,Ireland,Calve,Thousand head (animals),0.75
2009,Ireland,Young cattle,Thousand tonnes,0.54
2009,Ireland,Young cattle,Thousand head (animals),2.63
2009,Ireland,Adult cattle,Thousand tonnes,513.83
2009,Ireland,Adult cattle,Thousand head (animals),1597.02
2009,Greece,Bovine meat,Thousand tonnes,57.17
2009,Greece,Bovine meat,Thousand head (animals),259.25
2009,Greece,Calve and young cattley,Thousand tonnes,7.17
2009,Greece,Calve and young cattley,Thousand head (animals),47.08
2009,Greece,Calve,Thousand tonnes,0.8
2009,Greece,Calve,Thousand head (animals),7.72
2009,Greece,Young cattle,Thousand tonnes,6.36
2009,Greece,Young cattle,Thousand head (animals),39.36
2009,Greece,Adult cattle,Thousand tonnes,50.01
2009,Greece,Adult cattle,Thousand head (animals),212.17
2009,Spain,Bovine meat,Thousand tonnes,598.43
2009,Spain,Bovine meat,Thousand head (animals),2306.58
2009,Spain,Calve and young cattley,Thousand tonnes,140.83
2009,Spain,Calve and young cattley,Thousand head (animals),638.1
2009,Spain,Calve,Thousand tonnes,18.93
2009,Spain,Calve,Thousand head (animals),113.25
2009,Spain,Young cattle,Thousand tonnes,121.89
2009,Spain,Young cattle,Thousand head (animals),524.85
2009,Spain,Adult cattle,Thousand tonnes,457.6
2009,Spain,Adult cattle,Thousand head (animals),1668.48
2009,France,Bovine meat,Thousand tonnes,1466.67
2009,France,Bovine meat,Thousand head (animals),4953.36
2009,France,Calve and young cattley,Thousand tonnes,221.08
2009,France,Calve and young cattley,Thousand head (animals),1573.01
2009,France,Calve,Thousand tonnes,195.92
2009,France,Calve,Thousand head (animals),1470.36
2009,France,Young cattle,Thousand tonnes,25.16
2009,France,Young cattle,Thousand head (animals),102.65
2009,France,Adult cattle,Thousand tonnes,1245.59
2009,France,Adult cattle,Thousand head (animals),3380.35
2009,Croatia,Bovine meat,Thousand tonnes,48.8
2009,Croatia,Bovine meat,Thousand head (animals),232.1
2009,Croatia,Calve and young cattley,Thousand tonnes,13.8
2009,Croatia,Calve and young cattley,Thousand head (animals),112.8
2009,Croatia,Calve,Thousand tonnes,5.9
2009,Croatia,Calve,Thousand head (animals),75.6
2009,Croatia,Young cattle,Thousand tonnes,7.9
2009,Croatia,Young cattle,Thousand head (animals),37.2
2009,Croatia,Adult cattle,Thousand tonnes,35
2009,Croatia,Adult cattle,Thousand head (animals),119.3
2009,Italy,Bovine meat,Thousand tonnes,1055.01
2009,Italy,Bovine meat,Thousand head (animals),3838.23
2009,Italy,Calve and young cattley,Thousand tonnes,136.48
2009,Italy,Calve and young cattley,Thousand head (animals),924.1
2009,Italy,Calve,Thousand tonnes,121.97
2009,Italy,Calve,Thousand head (animals),846.04
2009,Italy,Young cattle,Thousand tonnes,14.51
2009,Italy,Young cattle,Thousand head (animals),78.06
2009,Italy,Adult cattle,Thousand tonnes,918.52
2009,Italy,Adult cattle,Thousand head (animals),2914.13
2009,Cyprus,Bovine meat,Thousand tonnes,4.45
2009,Cyprus,Bovine meat,Thousand head (animals),18.05
2009,Cyprus,Calve and young cattley,Thousand tonnes,1.6
2009,Cyprus,Calve and young cattley,Thousand head (animals),7.49
2009,Cyprus,Calve,Thousand tonnes,0.08
2009,Cyprus,Calve,Thousand head (animals),0.47
2009,Cyprus,Young cattle,Thousand tonnes,1.52
2009,Cyprus,Young cattle,Thousand head (animals),7.02
2009,Cyprus,Adult cattle,Thousand tonnes,2.85
2009,Cyprus,Adult cattle,Thousand head (animals),10.56
2009,Latvia,Bovine meat,Thousand tonnes,18.97
2009,Latvia,Bovine meat,Thousand head (animals),95.53
2009,Latvia,Calve and young cattley,Thousand tonnes,1.35
2009,Latvia,Calve and young cattley,Thousand head (animals),14.21
2009,Latvia,Calve,Thousand tonnes,0.35
2009,Latvia,Calve,Thousand head (animals),6.72
2009,Latvia,Young cattle,Thousand tonnes,1
2009,Latvia,Young cattle,Thousand head (animals),7.5
2009,Latvia,Adult cattle,Thousand tonnes,17.61
2009,Latvia,Adult cattle,Thousand head (animals),81.32
2009,Lithuania,Bovine meat,Thousand tonnes,43.89
2009,Lithuania,Bovine meat,Thousand head (animals),185.45
2009,Lithuania,Calve and young cattley,Thousand tonnes,0.51
2009,Lithuania,Calve and young cattley,Thousand head (animals),10.23
2009,Lithuania,Calve,Thousand tonnes,0.34
2009,Lithuania,Calve,Thousand head (animals),8.68
2009,Lithuania,Young cattle,Thousand tonnes,0.17
2009,Lithuania,Young cattle,Thousand head (animals),1.55
2009,Lithuania,Adult cattle,Thousand tonnes,43.38
2009,Lithuania,Adult cattle,Thousand head (animals),175.22
2009,Luxembourg,Bovine meat,Thousand tonnes,8.98
2009,Luxembourg,Bovine meat,Thousand head (animals),25.53
2009,Luxembourg,Calve and young cattley,Thousand tonnes,0.23
2009,Luxembourg,Calve and young cattley,Thousand head (animals),1.43
2009,Luxembourg,Calve,Thousand tonnes,0.12
2009,Luxembourg,Calve,Thousand head (animals),0.79
2009,Luxembourg,Young cattle,Thousand tonnes,0.11
2009,Luxembourg,Young cattle,Thousand head (animals),0.64
2009,Luxembourg,Adult cattle,Thousand tonnes,8.75
2009,Luxembourg,Adult cattle,Thousand head (animals),24.1
2009,Hungary,Bovine meat,Thousand tonnes,29.7
2009,Hungary,Bovine meat,Thousand head (animals),113.85
2009,Hungary,Calve and young cattley,Thousand tonnes,1.14
2009,Hungary,Calve and young cattley,Thousand head (animals),7
2009,Hungary,Calve,Thousand tonnes,0.24
2009,Hungary,Calve,Thousand head (animals),2.57
2009,Hungary,Young cattle,Thousand tonnes,0.89
2009,Hungary,Young cattle,Thousand head (animals),4.42
2009,Hungary,Adult cattle,Thousand tonnes,28.56
2009,Hungary,Adult cattle,Thousand head (animals),106.86
2009,Malta,Bovine meat,Thousand tonnes,1.54
2009,Malta,Bovine meat,Thousand head (animals),6.05
2009,Malta,Calve and young cattley,Thousand tonnes,0.01
2009,Malta,Calve and young cattley,Thousand head (animals),0.11
2009,Malta,Calve,Thousand tonnes,0.01
2009,Malta,Calve,Thousand head (animals),0.11
2009,Malta,Young cattle,Thousand tonnes,0
2009,Malta,Young cattle,Thousand head (animals),0
2009,Malta,Adult cattle,Thousand tonnes,1.54
2009,Malta,Adult cattle,Thousand head (animals),5.94
2009,Netherlands,Bovine meat,Thousand tonnes,401.75
2009,Netherlands,Bovine meat,Thousand head (animals),2068.23
2009,Netherlands,Calve and young cattley,Thousand tonnes,223.13
2009,Netherlands,Calve and young cattley,Thousand head (animals),1484.23
2009,Netherlands,Calve,Thousand tonnes,164.7
2009,Netherlands,Calve,Thousand head (animals),1175.65
2009,Netherlands,Young cattle,Thousand tonnes,58.43
2009,Netherlands,Young cattle,Thousand head (animals),308.58
2009,Netherlands,Adult cattle,Thousand tonnes,178.62
2009,Netherlands,Adult cattle,Thousand head (animals),584
2009,Austria,Bovine meat,Thousand tonnes,223.65
2009,Austria,Bovine meat,Thousand head (animals),699.78
2009,Austria,Calve and young cattley,Thousand tonnes,8.04
2009,Austria,Calve and young cattley,Thousand head (animals),80.17
2009,Austria,Calve,Thousand tonnes,8.04
2009,Austria,Calve,Thousand head (animals),80.17
2009,Austria,Young cattle,Thousand tonnes,0
2009,Austria,Young cattle,Thousand head (animals),0
2009,Austria,Adult cattle,Thousand tonnes,215.62
2009,Austria,Adult cattle,Thousand head (animals),619.62
2009,Poland,Bovine meat,Thousand tonnes,385.11
2009,Poland,Bovine meat,Thousand head (animals),1582.24
2009,Poland,Calve and young cattley,Thousand tonnes,15.38
2009,Poland,Calve and young cattley,Thousand head (animals),246.32
2009,Poland,Calve,Thousand tonnes,14.73
2009,Poland,Calve,Thousand head (animals),240.96
2009,Poland,Young cattle,Thousand tonnes,0.66
2009,Poland,Young cattle,Thousand head (animals),5.36
2009,Poland,Adult cattle,Thousand tonnes,369.73
2009,Poland,Adult cattle,Thousand head (animals),1335.93
2009,Portugal,Bovine meat,Thousand tonnes,102.71
2009,Portugal,Bovine meat,Thousand head (animals),444.57
2009,Portugal,Calve and young cattley,Thousand tonnes,23.11
2009,Portugal,Calve and young cattley,Thousand head (animals),151.57
2009,Portugal,Calve,Thousand tonnes,10.36
2009,Portugal,Calve,Thousand head (animals),78.78
2009,Portugal,Young cattle,Thousand tonnes,12.75
2009,Portugal,Young cattle,Thousand head (animals),72.79
2009,Portugal,Adult cattle,Thousand tonnes,79.6
2009,Portugal,Adult cattle,Thousand head (animals),293
2009,Romania,Bovine meat,Thousand tonnes,24.96
2009,Romania,Bovine meat,Thousand head (animals),117.36
2009,Romania,Calve and young cattley,Thousand tonnes,3.31
2009,Romania,Calve and young cattley,Thousand head (animals),21.91
2009,Romania,Calve,Thousand tonnes,0.77
2009,Romania,Calve,Thousand head (animals),6.8
2009,Romania,Young cattle,Thousand tonnes,2.54
2009,Romania,Young cattle,Thousand head (animals),15.11
2009,Romania,Adult cattle,Thousand tonnes,21.65
2009,Romania,Adult cattle,Thousand head (animals),95.45
2009,Slovenia,Bovine meat,Thousand tonnes,35.26
2009,Slovenia,Bovine meat,Thousand head (animals),125.26
2009,Slovenia,Calve and young cattley,Thousand tonnes,2.34
2009,Slovenia,Calve and young cattley,Thousand head (animals),24.8
2009,Slovenia,Calve,Thousand tonnes,2.07
2009,Slovenia,Calve,Thousand head (animals),23.16
2009,Slovenia,Young cattle,Thousand tonnes,0.27
2009,Slovenia,Young cattle,Thousand head (animals),1.64
2009,Slovenia,Adult cattle,Thousand tonnes,32.92
2009,Slovenia,Adult cattle,Thousand head (animals),100.47
2009,Slovakia,Bovine meat,Thousand tonnes,15.79
2009,Slovakia,Bovine meat,Thousand head (animals),59.26
2009,Slovakia,Calve and young cattley,Thousand tonnes,0.09
2009,Slovakia,Calve and young cattley,Thousand head (animals),1.32
2009,Slovakia,Calve,Thousand tonnes,0.06
2009,Slovakia,Calve,Thousand head (animals),0.97
2009,Slovakia,Young cattle,Thousand tonnes,0.03
2009,Slovakia,Young cattle,Thousand head (animals),0.36
2009,Slovakia,Adult cattle,Thousand tonnes,15.71
2009,Slovakia,Adult cattle,Thousand head (animals),57.94
2009,Finland,Bovine meat,Thousand tonnes,81.08
2009,Finland,Bovine meat,Thousand head (animals),267.26
2009,Finland,Calve and young cattley,Thousand tonnes,0.36
2009,Finland,Calve and young cattley,Thousand head (animals),2.56
2009,Finland,Calve,Thousand tonnes,0.06
2009,Finland,Calve,Thousand head (animals),0.76
2009,Finland,Young cattle,Thousand tonnes,0.3
2009,Finland,Young cattle,Thousand head (animals),1.81
2009,Finland,Adult cattle,Thousand tonnes,80.73
2009,Finland,Adult cattle,Thousand head (animals),264.7
2009,Sweden,Bovine meat,Thousand tonnes,150.47
2009,Sweden,Bovine meat,Thousand head (animals),497.57
2009,Sweden,Calve and young cattley,Thousand tonnes,15.28
2009,Sweden,Calve and young cattley,Thousand head (animals),67.52
2009,Sweden,Calve,Thousand tonnes,4.64
2009,Sweden,Calve,Thousand head (animals),29.43
2009,Sweden,Young cattle,Thousand tonnes,10.64
2009,Sweden,Young cattle,Thousand head (animals),38.09
2009,Sweden,Adult cattle,Thousand tonnes,135.2
2009,Sweden,Adult cattle,Thousand head (animals),430.05
2009,United Kingdom,Bovine meat,Thousand tonnes,849.86
2009,United Kingdom,Bovine meat,Thousand head (animals),2565.9
2009,United Kingdom,Calve and young cattley,Thousand tonnes,1.4
2009,United Kingdom,Calve and young cattley,Thousand head (animals),42.58
2009,United Kingdom,Calve,Thousand tonnes,1.22
2009,United Kingdom,Calve,Thousand head (animals),37.04
2009,United Kingdom,Young cattle,Thousand tonnes,0.18
2009,United Kingdom,Young cattle,Thousand head (animals),5.54
2009,United Kingdom,Adult cattle,Thousand tonnes,848.47
2009,United Kingdom,Adult cattle,Thousand head (animals),2523.33
2009,Iceland,Bovine meat,Thousand tonnes,0
2009,Iceland,Bovine meat,Thousand head (animals),0
2009,Iceland,Calve and young cattley,Thousand tonnes,0
2009,Iceland,Calve and young cattley,Thousand head (animals),0
2009,Iceland,Calve,Thousand tonnes,0
2009,Iceland,Calve,Thousand head (animals),0
2009,Iceland,Young cattle,Thousand tonnes,0
2009,Iceland,Young cattle,Thousand head (animals),0
2009,Iceland,Adult cattle,Thousand tonnes,0
2009,Iceland,Adult cattle,Thousand head (animals),0
2009,Switzerland,Bovine meat,Thousand tonnes,0
2009,Switzerland,Bovine meat,Thousand head (animals),0
2009,Switzerland,Calve and young cattley,Thousand tonnes,0
2009,Switzerland,Calve and young cattley,Thousand head (animals),0
2009,Switzerland,Calve,Thousand tonnes,0
