year,country,crop,area
2010,Turkey,Other dry pulses and protein crops n.e.c.,0
2010,Turkey,Root crops,180
2010,Turkey,Potatoes (including seed potatoes),141
2010,Turkey,Sugar beet (excluding seed),39
2010,Turkey,Other root crops n.e.c.,0
2010,Turkey,Industrial crops,0
2010,Turkey,Oilseeds,664
2010,Turkey,"Rape, turnip rape, sunflower seeds and soya",695
2010,Turkey,Rape and turnip rape seeds,31
2010,Turkey,Winter rape and turnip rape seeds,0
2010,Turkey,Spring rape and turnip rape seeds,0
2010,Turkey,Sunflower seed,641
2010,Turkey,Soya,23
2010,Turkey,Linseed (oilflax),0
2010,Turkey,Cotton seed,0
2010,Turkey,Other oilseed crops n.e.c.,0
2010,Turkey,Fibre crops,0
2010,Turkey,Fibre flax,0
2010,Turkey,Hemp,0
2010,Turkey,Cotton fibre,0
2010,Turkey,Other fibre crops n.e.c.,0
2010,Turkey,Tobacco,0
2010,Turkey,Hops,0
2010,Turkey,"Aromatic, medicinal and culinary plants",0
2010,Turkey,Energy crops n.e.c.,0
2010,Turkey,Other industrial crops n.e.c.,0
2010,Turkey,Plants harvested green from arable land,724
2010,Turkey,Temporary grasses and grazings,0
2010,Turkey,Leguminous plants harvested green,0
2010,Turkey,Lucerne,0
2010,Turkey,Other leguminous plants harvested green n.e.c.,0
2010,Turkey,Clover and mixtures,0
2010,Turkey,Green maize,9
2010,Turkey,Other cereals harvested green (excluding green maize),0
2010,Turkey,Other plants harvested green from arable land n.e.c.,0
2010,Turkey,Fresh vegetables (including melons) and strawberries,0
2010,Turkey,Fresh vegetables (including melons),0
2010,Turkey,Brassicas,0
2010,Turkey,Cauliflower and broccoli,0
2010,Turkey,Brussels sprouts,0
2010,Turkey,Cabbages,0
2010,Turkey,Other brassicas n.e.c,0
2010,Turkey,Kohlrabi,0
2010,Turkey,Leafy and stalked vegetables (excluding brassicas),0
2010,Turkey,Leeks,0
2010,Turkey,Celery,0
2010,Turkey,Lettuces,0
2010,Turkey,Lettuces - under glass or high accessible cover,0
2010,Turkey,Endives,0
2010,Turkey,Spinach,0
2010,Turkey,Asparagus,0
2010,Turkey,Chicory,0
2010,Turkey,Chicory for fresh consumption,0
2010,Turkey,Chicory for processing,0
2010,Turkey,Artichokes,0
2010,Turkey,Other leafy or stalked vegetables n.e.c.,0
2010,Turkey,Vegetables cultivated for fruit (including melons),0
2010,Turkey,Tomatoes,0
2010,Turkey,Tomatoes for fresh consumption,0
2010,Turkey,Tomatoes for processing,0
2010,Turkey,Tomatoes - under glass or high accessible cover,0
2010,Turkey,Cucumbers,0
2010,Turkey,Cucumbers - under glass or high accessible cover,0
2010,Turkey,Gherkins,0
2010,Turkey,Eggplants,0
2010,Turkey,Courgettes and marrows,0
2010,Turkey,Gourds and pumpkins,0
2010,Turkey,Muskmelons,0
2010,Turkey,Watermelons,0
2010,Turkey,Peppers (capsicum),0
2010,Turkey,Peppers (capsicum) - under glass or high accessible cover,0
2010,Turkey,Other vegetables cultivated for fruit n.e.c.,0
2010,Turkey,"Root, tuber and bulb vegetables",0
2010,Turkey,Carrots,0
2010,Turkey,Onions,0
2010,Turkey,Shallots,0
2010,Turkey,Beetroot,0
2010,Turkey,Celeriac,0
2010,Turkey,Radishes,0
2010,Turkey,Garlic,0
2010,Turkey,"Other root, tuber and bulb vegetables n.e.c.",0
2010,Turkey,Fresh pulses,0
2010,Turkey,Fresh peas,0
2010,Turkey,Fresh beans,0
2010,Turkey,Other fresh pulses n.e.c.,0
2010,Turkey,Other fresh vegetables n.e.c.,0
2010,Turkey,Strawberries,0
2010,Turkey,Strawberries - under glass or high accesible cover,0
2010,Turkey,Flowers and ornamental plants (excluding nurseries),0
2010,Turkey,Seeds and seedlings,0
2010,Turkey,Other arable land crops n.e.c.,0
2010,Turkey,Fallow land,0
2010,Turkey,Permanent grassland,0
2010,Turkey,Permanent crops,0
2010,Turkey,Permanent crops for human consumption including those from kitchen gardens,0
2010,Turkey,Permanent crops for human consumption,0
2010,Turkey,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",0
2010,Turkey,Pome fruits,0
2010,Turkey,Apples,0
2010,Turkey,Apples for fresh consumption,0
2010,Turkey,Apples for processing,0
2010,Turkey,Pears,0
2010,Turkey,Pears for fresh consumption,0
2010,Turkey,Pears for processing,0
2010,Turkey,Other pome fruits n.e.c.,0
2010,Turkey,Stone fruits,0
2010,Turkey,Peaches and nectarines,0
2010,Turkey,Peaches,0
2010,Turkey,Nectarines,0
2010,Turkey,Peaches and nectarines for processing,0
2010,Turkey,Apricots,0
2010,Turkey,Cherries,0
2010,Turkey,Sour cherries,0
2010,Turkey,Sweet cherries,0
2010,Turkey,Plums,0
2010,Turkey,Other stone fruits n.e.c,0
2010,Turkey,Fruits from subtropical and tropical climate zones,0
2010,Turkey,Figs,0
2010,Turkey,Kiwis,0
2010,Turkey,Avocados,0
2010,Turkey,Bananas,0
2010,Turkey,Other fruits from subtropical and tropical climate zones n.e.c.,0
2010,Turkey,Berries (excluding strawberries),0
2010,Turkey,Currants,0
2010,Turkey,Blackcurrants,0
2010,Turkey,Redcurrants,0
2010,Turkey,Raspberries,0
2010,Turkey,Blueberries,0
2010,Turkey,Other berries n.e.c.,0
2010,Turkey,Gooseberries,0
2010,Turkey,Nuts,0
2010,Turkey,Walnuts,0
2010,Turkey,Hazelnuts,0
2010,Turkey,Almonds,0
2010,Turkey,Chestnuts,0
2010,Turkey,Other nuts n.e.c.,0
2010,Turkey,Citrus fruits,0
2010,Turkey,Oranges,0
2010,Turkey,Navel oranges,0
2010,Turkey,White oranges (blancas),0
2010,Turkey,Blood oranges (sanguines),0
2010,Turkey,Others oranges n.e.c,0
2010,Turkey,Small citrus fruits,0
2010,Turkey,Satsumas,0
2010,Turkey,Clementines,0
2010,Turkey,Other small citrus fruits (including hybrids) n.e.c.,0
2010,Turkey,Lemons and acid limes,0
2010,Turkey,Yellow lemons,0
2010,Turkey,Acid limes,0
2010,Turkey,Pomelos and grapefruit,0
2010,Turkey,Other citrus fruits n.e.c.,0
2010,Turkey,Grapes,0
2010,Turkey,Grapes for wines,0
2010,Turkey,Grapes for wines with protected designation of origin (PDO),0
2010,Turkey,Grapes for wines with protected geographical indication (PGI),0
2010,Turkey,Grapes for other wines n.e.c. (without PDO/PGI),0
2010,Turkey,Grapes for table use,0
2010,Turkey,Grapes for raisins,0
2010,Turkey,Grapes for other purposes n.e.c.,0
2010,Turkey,Olives,0
2010,Turkey,Olives for table use,0
2010,Turkey,Olives for oil,0
2010,Turkey,Other permanent crops for human consumption n.e.c.,0
2010,Turkey,Nurseries,0
2010,Turkey,Other permanent crops,0
2010,Turkey,Kitchen gardens,0
2010,Turkey,Cultivated mushrooms,0
2010,Turkey,Champignons,0
2010,Turkey,Other cultivated mushrooms n.e.c.,0
2010,Bosnia and Herzegovina,Utilised Agricultural Area,0
2010,Bosnia and Herzegovina,Arable land,0
2010,Bosnia and Herzegovina,Cereals for the production of grain (including seed),293
2010,Bosnia and Herzegovina,Cereals (excluding rice) for the production of grain (including seed),293
2010,Bosnia and Herzegovina,Wheat and spelt,110.45
2010,Bosnia and Herzegovina,Common wheat and spelt,55.45
2010,Bosnia and Herzegovina,Common winter wheat and spelt,53.39
2010,Bosnia and Herzegovina,Common spring wheat and spelt,2.06
2010,Bosnia and Herzegovina,Durum wheat,0
2010,Bosnia and Herzegovina,Rye and winter cereal mixtures (maslin),3.05
2010,Bosnia and Herzegovina,Rye,3.05
2010,Bosnia and Herzegovina,Winter cereal mixtures (maslin),0
2010,Bosnia and Herzegovina,Barley,20.75
2010,Bosnia and Herzegovina,Winter barley,13.05
2010,Bosnia and Herzegovina,Spring barley,7.7
2010,Bosnia and Herzegovina,Oats and spring cereal mixtures (mixed grain other than maslin),9.9
2010,Bosnia and Herzegovina,Oats,10.23
2010,Bosnia and Herzegovina,Spring cereal mixtures (mixed grain other than maslin),0
2010,Bosnia and Herzegovina,Grain maize and corn-cob-mix,191.67
2010,Bosnia and Herzegovina,Triticale,11.37
2010,Bosnia and Herzegovina,Sorghum,0
2010,Bosnia and Herzegovina,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",0.58
2010,Bosnia and Herzegovina,Rice,0
2010,Bosnia and Herzegovina,Rice Indica,0
2010,Bosnia and Herzegovina,Rice Japonica,0
2010,Bosnia and Herzegovina,Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),9.92
2010,Bosnia and Herzegovina,Field peas,1.18
2010,Bosnia and Herzegovina,Broad and field beans,0
2010,Bosnia and Herzegovina,Sweet lupins,0
2010,Bosnia and Herzegovina,Other dry pulses and protein crops n.e.c.,8.74
2010,Bosnia and Herzegovina,Root crops,37.78
2010,Bosnia and Herzegovina,Potatoes (including seed potatoes),36.45
2010,Bosnia and Herzegovina,Sugar beet (excluding seed),0
2010,Bosnia and Herzegovina,Other root crops n.e.c.,1.34
2010,Bosnia and Herzegovina,Industrial crops,7
2010,Bosnia and Herzegovina,Oilseeds,5
2010,Bosnia and Herzegovina,"Rape, turnip rape, sunflower seeds and soya",5.29
2010,Bosnia and Herzegovina,Rape and turnip rape seeds,0.64
2010,Bosnia and Herzegovina,Winter rape and turnip rape seeds,0.64
2010,Bosnia and Herzegovina,Spring rape and turnip rape seeds,0
2010,Bosnia and Herzegovina,Sunflower seed,0.46
2010,Bosnia and Herzegovina,Soya,4.19
2010,Bosnia and Herzegovina,Linseed (oilflax),0
2010,Bosnia and Herzegovina,Cotton seed,0
2010,Bosnia and Herzegovina,Other oilseed crops n.e.c.,0
2010,Bosnia and Herzegovina,Fibre crops,0
2010,Bosnia and Herzegovina,Fibre flax,0
2010,Bosnia and Herzegovina,Hemp,0
2010,Bosnia and Herzegovina,Cotton fibre,0
2010,Bosnia and Herzegovina,Other fibre crops n.e.c.,0
2010,Bosnia and Herzegovina,Tobacco,1.52
2010,Bosnia and Herzegovina,Hops,0
2010,Bosnia and Herzegovina,"Aromatic, medicinal and culinary plants",0
2010,Bosnia and Herzegovina,Energy crops n.e.c.,0
2010,Bosnia and Herzegovina,Other industrial crops n.e.c.,0
2010,Bosnia and Herzegovina,Plants harvested green from arable land,134
2010,Bosnia and Herzegovina,Temporary grasses and grazings,0
2010,Bosnia and Herzegovina,Leguminous plants harvested green,108.05
2010,Bosnia and Herzegovina,Lucerne,34.52
2010,Bosnia and Herzegovina,Other leguminous plants harvested green n.e.c.,70.21
2010,Bosnia and Herzegovina,Clover and mixtures,70.21
2010,Bosnia and Herzegovina,Green maize,23.72
2010,Bosnia and Herzegovina,Other cereals harvested green (excluding green maize),0
2010,Bosnia and Herzegovina,Other plants harvested green from arable land n.e.c.,0
2010,Bosnia and Herzegovina,Fresh vegetables (including melons) and strawberries,31
2010,Bosnia and Herzegovina,Fresh vegetables (including melons),31
2010,Bosnia and Herzegovina,Brassicas,0
2010,Bosnia and Herzegovina,Cauliflower and broccoli,0
2010,Bosnia and Herzegovina,Brussels sprouts,0
2010,Bosnia and Herzegovina,Cabbages,5.86
2010,Bosnia and Herzegovina,Other brassicas n.e.c,0
2010,Bosnia and Herzegovina,Kohlrabi,0
2010,Bosnia and Herzegovina,Leafy and stalked vegetables (excluding brassicas),0.81
2010,Bosnia and Herzegovina,Leeks,0
2010,Bosnia and Herzegovina,Celery,0
2010,Bosnia and Herzegovina,Lettuces,0.81
2010,Bosnia and Herzegovina,Lettuces - under glass or high accessible cover,0
2010,Bosnia and Herzegovina,Endives,0
2010,Bosnia and Herzegovina,Spinach,0
2010,Bosnia and Herzegovina,Asparagus,0
2010,Bosnia and Herzegovina,Chicory,0
2010,Bosnia and Herzegovina,Chicory for fresh consumption,0
2010,Bosnia and Herzegovina,Chicory for processing,0
2010,Bosnia and Herzegovina,Artichokes,0
2010,Bosnia and Herzegovina,Other leafy or stalked vegetables n.e.c.,0
2010,Bosnia and Herzegovina,Vegetables cultivated for fruit (including melons),0
2010,Bosnia and Herzegovina,Tomatoes,3.58
2010,Bosnia and Herzegovina,Tomatoes for fresh consumption,0
2010,Bosnia and Herzegovina,Tomatoes for processing,0
2010,Bosnia and Herzegovina,Tomatoes - under glass or high accessible cover,0
2010,Bosnia and Herzegovina,Cucumbers,2.94
2010,Bosnia and Herzegovina,Cucumbers - under glass or high accessible cover,0
2010,Bosnia and Herzegovina,Gherkins,0
2010,Bosnia and Herzegovina,Eggplants,0
2010,Bosnia and Herzegovina,Courgettes and marrows,0
2010,Bosnia and Herzegovina,Gourds and pumpkins,0
2010,Bosnia and Herzegovina,Muskmelons,0.38
2010,Bosnia and Herzegovina,Watermelons,0.83
2010,Bosnia and Herzegovina,Peppers (capsicum),3.53
2010,Bosnia and Herzegovina,Peppers (capsicum) - under glass or high accessible cover,0
2010,Bosnia and Herzegovina,Other vegetables cultivated for fruit n.e.c.,0
2010,Bosnia and Herzegovina,"Root, tuber and bulb vegetables",0
2010,Bosnia and Herzegovina,Carrots,2.07
2010,Bosnia and Herzegovina,Onions,4.9
2010,Bosnia and Herzegovina,Shallots,0
2010,Bosnia and Herzegovina,Beetroot,0
2010,Bosnia and Herzegovina,Celeriac,0
2010,Bosnia and Herzegovina,Radishes,0
2010,Bosnia and Herzegovina,Garlic,1.64
2010,Bosnia and Herzegovina,"Other root, tuber and bulb vegetables n.e.c.",0
2010,Bosnia and Herzegovina,Fresh pulses,0.76
2010,Bosnia and Herzegovina,Fresh peas,0.3
2010,Bosnia and Herzegovina,Fresh beans,0.46
2010,Bosnia and Herzegovina,Other fresh pulses n.e.c.,0
2010,Bosnia and Herzegovina,Other fresh vegetables n.e.c.,0
2010,Bosnia and Herzegovina,Strawberries,1.24
2010,Bosnia and Herzegovina,Strawberries - under glass or high accesible cover,0
2010,Bosnia and Herzegovina,Flowers and ornamental plants (excluding nurseries),0
2010,Bosnia and Herzegovina,Seeds and seedlings,0
2010,Bosnia and Herzegovina,Other arable land crops n.e.c.,0
2010,Bosnia and Herzegovina,Fallow land,0
2010,Bosnia and Herzegovina,Permanent grassland,0
2010,Bosnia and Herzegovina,Permanent crops,0
2010,Bosnia and Herzegovina,Permanent crops for human consumption including those from kitchen gardens,0
2010,Bosnia and Herzegovina,Permanent crops for human consumption,0
2010,Bosnia and Herzegovina,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",0
2010,Bosnia and Herzegovina,Pome fruits,0
2010,Bosnia and Herzegovina,Apples,0
2010,Bosnia and Herzegovina,Apples for fresh consumption,0
2010,Bosnia and Herzegovina,Apples for processing,0
2010,Bosnia and Herzegovina,Pears,0
2010,Bosnia and Herzegovina,Pears for fresh consumption,0
2010,Bosnia and Herzegovina,Pears for processing,0
2010,Bosnia and Herzegovina,Other pome fruits n.e.c.,0
2010,Bosnia and Herzegovina,Stone fruits,0
2010,Bosnia and Herzegovina,Peaches and nectarines,0
2010,Bosnia and Herzegovina,Peaches,0
2010,Bosnia and Herzegovina,Nectarines,0
2010,Bosnia and Herzegovina,Peaches and nectarines for processing,0
2010,Bosnia and Herzegovina,Apricots,0
2010,Bosnia and Herzegovina,Cherries,0
2010,Bosnia and Herzegovina,Sour cherries,0
2010,Bosnia and Herzegovina,Sweet cherries,0
2010,Bosnia and Herzegovina,Plums,0
2010,Bosnia and Herzegovina,Other stone fruits n.e.c,0
2010,Bosnia and Herzegovina,Fruits from subtropical and tropical climate zones,0
2010,Bosnia and Herzegovina,Figs,0
2010,Bosnia and Herzegovina,Kiwis,0
2010,Bosnia and Herzegovina,Avocados,0
2010,Bosnia and Herzegovina,Bananas,0
2010,Bosnia and Herzegovina,Other fruits from subtropical and tropical climate zones n.e.c.,0
2010,Bosnia and Herzegovina,Berries (excluding strawberries),1
2010,Bosnia and Herzegovina,Currants,0
2010,Bosnia and Herzegovina,Blackcurrants,0
2010,Bosnia and Herzegovina,Redcurrants,0
2010,Bosnia and Herzegovina,Raspberries,1.11
2010,Bosnia and Herzegovina,Blueberries,0
2010,Bosnia and Herzegovina,Other berries n.e.c.,0
2010,Bosnia and Herzegovina,Gooseberries,0
2010,Bosnia and Herzegovina,Nuts,0
2010,Bosnia and Herzegovina,Walnuts,0
2010,Bosnia and Herzegovina,Hazelnuts,0
2010,Bosnia and Herzegovina,Almonds,0
2010,Bosnia and Herzegovina,Chestnuts,0
2010,Bosnia and Herzegovina,Other nuts n.e.c.,0
2010,Bosnia and Herzegovina,Citrus fruits,0
2010,Bosnia and Herzegovina,Oranges,0
2010,Bosnia and Herzegovina,Navel oranges,0
2010,Bosnia and Herzegovina,White oranges (blancas),0
2010,Bosnia and Herzegovina,Blood oranges (sanguines),0
2010,Bosnia and Herzegovina,Others oranges n.e.c,0
2010,Bosnia and Herzegovina,Small citrus fruits,0
2010,Bosnia and Herzegovina,Satsumas,0
2010,Bosnia and Herzegovina,Clementines,0
2010,Bosnia and Herzegovina,Other small citrus fruits (including hybrids) n.e.c.,0
2010,Bosnia and Herzegovina,Lemons and acid limes,0
2010,Bosnia and Herzegovina,Yellow lemons,0
2010,Bosnia and Herzegovina,Acid limes,0
2010,Bosnia and Herzegovina,Pomelos and grapefruit,0
2010,Bosnia and Herzegovina,Other citrus fruits n.e.c.,0
2010,Bosnia and Herzegovina,Grapes,5.73
2010,Bosnia and Herzegovina,Grapes for wines,4.73
2010,Bosnia and Herzegovina,Grapes for wines with protected designation of origin (PDO),0
2010,Bosnia and Herzegovina,Grapes for wines with protected geographical indication (PGI),0
2010,Bosnia and Herzegovina,Grapes for other wines n.e.c. (without PDO/PGI),0
2010,Bosnia and Herzegovina,Grapes for table use,1
2010,Bosnia and Herzegovina,Grapes for raisins,0
2010,Bosnia and Herzegovina,Grapes for other purposes n.e.c.,0
2010,Bosnia and Herzegovina,Olives,0
2010,Bosnia and Herzegovina,Olives for table use,0
2010,Bosnia and Herzegovina,Olives for oil,0
2010,Bosnia and Herzegovina,Other permanent crops for human consumption n.e.c.,0
2010,Bosnia and Herzegovina,Nurseries,0
2010,Bosnia and Herzegovina,Other permanent crops,0
2010,Bosnia and Herzegovina,Kitchen gardens,0
2010,Bosnia and Herzegovina,Cultivated mushrooms,0
2010,Bosnia and Herzegovina,Champignons,0
2010,Bosnia and Herzegovina,Other cultivated mushrooms n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Utilised Agricultural Area,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Arable land,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cereals for the production of grain (including seed),119.9
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cereals (excluding rice) for the production of grain (including seed),119.9
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Wheat and spelt,78.4
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Common wheat and spelt,78.4
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Common winter wheat and spelt,78.4
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Common spring wheat and spelt,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Durum wheat,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rye and winter cereal mixtures (maslin),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rye,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Winter cereal mixtures (maslin),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Barley,1.2
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Winter barley,1.2
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Spring barley,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Oats and spring cereal mixtures (mixed grain other than maslin),4.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Oats,4.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Spring cereal mixtures (mixed grain other than maslin),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Grain maize and corn-cob-mix,35.4
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Triticale,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Sorghum,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rice,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rice Indica,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rice Japonica,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses),3.6
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Field peas,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Broad and field beans,3.6
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Sweet lupins,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other dry pulses and protein crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Root crops,3.8
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Potatoes (including seed potatoes),3.8
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Sugar beet (excluding seed),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other root crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Industrial crops,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Oilseeds,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),"Rape, turnip rape, sunflower seeds and soya",0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Rape and turnip rape seeds,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Winter rape and turnip rape seeds,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Spring rape and turnip rape seeds,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Sunflower seed,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Soya,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Linseed (oilflax),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cotton seed,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other oilseed crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fibre crops,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fibre flax,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Hemp,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cotton fibre,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other fibre crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Tobacco,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Hops,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),"Aromatic, medicinal and culinary plants",0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Energy crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other industrial crops n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Plants harvested green from arable land,22.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Temporary grasses and grazings,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Leguminous plants harvested green,17.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Lucerne,14.7
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other leguminous plants harvested green n.e.c.,2.6
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Clover and mixtures,2.6
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Green maize,1.1
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other cereals harvested green (excluding green maize),4
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other plants harvested green from arable land n.e.c.,1
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fresh vegetables (including melons) and strawberries,6.7
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fresh vegetables (including melons),6.7
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Brassicas,0.8
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cauliflower and broccoli,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Brussels sprouts,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cabbages,0.8
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other brassicas n.e.c,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Kohlrabi,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Leafy and stalked vegetables (excluding brassicas),0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Leeks,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Celery,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Lettuces,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Lettuces - under glass or high accessible cover,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Endives,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Spinach,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Asparagus,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Chicory,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Chicory for fresh consumption,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Chicory for processing,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Artichokes,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other leafy or stalked vegetables n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Vegetables cultivated for fruit (including melons),4.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Tomatoes,0.9
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Tomatoes for fresh consumption,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Tomatoes for processing,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Tomatoes - under glass or high accessible cover,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cucumbers,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Cucumbers - under glass or high accessible cover,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Gherkins,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Eggplants,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Courgettes and marrows,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Gourds and pumpkins,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Muskmelons,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Watermelons,1.1
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Peppers (capsicum),2.9
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Peppers (capsicum) - under glass or high accessible cover,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other vegetables cultivated for fruit n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),"Root, tuber and bulb vegetables",1.3
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Carrots,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Onions,1
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Shallots,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Beetroot,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Celeriac,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Radishes,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Garlic,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),"Other root, tuber and bulb vegetables n.e.c.",0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fresh pulses,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fresh peas,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Fresh beans,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other fresh pulses n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Other fresh vegetables n.e.c.,0
2010,Kosovo (under United Nations Security Council Resolution 1244/99),Strawberries,0
